"Nome","Città","Indirizzo","Regione","Link Google Maps","Note"
"Avezzano","Avezzano","Strada Statale N.5","Abruzzo","https://www.google.com/maps/search/?api=1&query=42.047025551785985,13.406420844879001","EIB Vasco Roma"
"Lanciano","Lanciano","Contrada Calcagna","Abruzzo","https://www.google.com/maps/search/?api=1&query=42.26343010754465,14.431587716677008","EIB Vasco Roma"
"Teramo","Teramo","Via Po, 90","Abruzzo","https://www.google.com/maps/search/?api=1&query=42.658,13.704","EIB Vasco Roma"
"Vasto","Vasto","Strada Statale 16, Km504","Abruzzo","https://www.google.com/maps/search/?api=1&query=42.057956,14.771042","EIB Vasco Roma"
"Lagonegro","Lagonegro","Strada Provinciale 26","Basilicata","https://www.google.com/maps/search/?api=1&query=40.125,15.762","EIB Vasco Roma"
"Potenza","Potenza","Viale del Basento, 112","Basilicata","https://www.google.com/maps/search/?api=1&query=40.642,15.805","EIB Vasco Roma"
"Monaco di Baviera","Monaco di Baviera","Theresienwiese, 80336 Monaco di Baviera,","Baviera","https://www.google.com/maps/search/?api=1&query=48.135672,11.5522316",""
"Cosenza Nord (Rende)","Cosenza ","Via Louis  ","Calabria","https://www.google.com/maps/search/?api=1&query=39.36,16.229","EIB Vasco Roma"
"Frascineto","Frascineto","Strada Provinciale 263","Calabria","https://www.google.com/maps/search/?api=1&query=39.84,16.29","EIB Vasco Roma"
"Gioia Tauro","Gioia Tauro","SP1 430","Calabria","https://www.google.com/maps/search/?api=1&query=38.425,15.899","EIB Vasco Roma"
"Lamezia Est","Lamezia Est","SS 280 dei Due Mari","Calabria","https://www.google.com/maps/search/?api=1&query=38.93,16.27","EIB Vasco Roma"
"Reggio (Villa San Giovanni)","Reggio","Viale Italia","Calabria","https://www.google.com/maps/search/?api=1&query=Viale%20Italia%2C%20Reggio","EIB Vasco Roma"
"Avellino","Avellino","Via Nazionale, Mercogliano Avellino","Campania","https://www.google.com/maps/search/?api=1&query=40.947685,14.835657","EIB Vasco Roma"
